"Combo","Model_ID","Train_Test_ID","Date","Forecast","Target","Best_Model","Combo_ID","Model_Name","Model_Type","Recipe_ID","Hyperparameter_ID","Horizon","q_val_80","q_val_95","z_val_80","z_val_95","coverage_conf_80","coverage_conf_95","coverage_z_80","coverage_z_95","lo_80","hi_80","lo_95","hi_95","method_80","method_95","coverage_80","coverage_95"
"M1","arima-boost--local--R1_meanf--local--R1_xgboost--local--R1",1,2015-07-01,6932.15247492598,NA,"Yes","M1","NA","local","simple_average","NA",1,1203.11240979909,1650.12280749548,1066.4963009418,1631.06533961654,1,1,0.807692307692308,1,5729.04006512689,8135.26488472506,5282.0296674305,8582.27528242146,"Conformal","Conformal",1,1
"M1","arima-boost--local--R1_meanf--local--R1_xgboost--local--R1",1,2015-08-01,6208.29050507212,NA,"Yes","M1","NA","local","simple_average","NA",2,1359.15004675121,1650.12280749548,1066.4963009418,1631.06533961654,1,1,0.807692307692308,1,4849.14045832091,7567.44055182333,4558.16769757664,7858.4133125676,"Conformal","Conformal",1,1
"M1","arima-boost--local--R1_meanf--local--R1_xgboost--local--R1",1,2015-09-01,5443.11371967672,NA,"Yes","M1","NA","local","simple_average","NA",3,1385.57185755949,1650.12280749548,1066.4963009418,1631.06533961654,1,1,0.807692307692308,1,4057.54186211723,6828.68557723622,3792.99091218124,7093.2365271722,"Conformal","Conformal",1,1
"M1","arima-boost--local--R1_meanf--local--R1_xgboost--local--R1",1,2015-10-01,5345.66265537369,NA,"Yes","M1","NA","local","simple_average","NA",4,1469.74907936435,1980.78473100333,1066.4963009418,1631.06533961654,1,1,0.807692307692308,1,3875.91357600935,6815.41173473804,3364.87792437037,7326.44738637702,"Conformal","Conformal",1,1
"M1","arima-boost--local--R1_meanf--local--R1_xgboost--local--R1",1,2015-11-01,4843.20671699866,NA,"Yes","M1","NA","local","simple_average","NA",5,1606.29378117479,2005.79374447614,1066.4963009418,1631.06533961654,1,1,0.807692307692308,1,3236.91293582386,6449.50049817345,2837.41297252252,6849.0004614748,"Conformal","Conformal",1,1
"M1","arima-boost--local--R1_meanf--local--R1_xgboost--local--R1",1,2015-12-01,4810.77729276966,NA,"Yes","M1","NA","local","simple_average","NA",6,1933.4565843146,2125.48412038305,1066.4963009418,1631.06533961654,1,1,0.807692307692308,1,2877.32070845506,6744.23387708425,2685.2931723866,6936.26141315271,"Conformal","Conformal",1,1
"M1","arima-boost--local--R1_meanf--local--R1_xgboost--local--R1",1,2016-01-01,5153.90528909865,NA,"Yes","M1","NA","local","simple_average","NA",7,1948.49401687183,2282.92120694506,1066.4963009418,1631.06533961654,1,1,0.807692307692308,1,3205.41127222681,7102.39930597048,2870.98408215359,7436.82649604371,"Conformal","Conformal",1,1
"M1","arima-boost--local--R1_meanf--local--R1_xgboost--local--R1",1,2016-02-01,4953.26377195239,NA,"Yes","M1","NA","local","simple_average","NA",8,1966.17303532177,2306.91511294659,1066.4963009418,1631.06533961654,1,1,0.807692307692308,1,2987.09073663062,6919.43680727416,2646.3486590058,7260.17888489898,"Conformal","Conformal",1,1
"M1","arima-boost--local--R1_meanf--local--R1_xgboost--local--R1",1,2016-03-01,4882.57015852852,NA,"Yes","M1","NA","local","simple_average","NA",9,2089.04387545861,2573.36937351673,1066.4963009418,1631.06533961654,1,1,0.807692307692308,1,2793.52628306991,6971.61403398713,2309.20078501179,7455.93953204525,"Conformal","Conformal",1,1
"M1","arima-boost--local--R1_meanf--local--R1_xgboost--local--R1",1,2016-04-01,4561.985372884,NA,"Yes","M1","NA","local","simple_average","NA",10,2168.0048328991,2735.45445476792,1066.4963009418,1631.06533961654,1,1,0.807692307692308,1,2393.9805399849,6729.9902057831,1826.53091811608,7297.43982765192,"Conformal","Conformal",1,1
"M1","arima-boost--local--R1_meanf--local--R1_xgboost--local--R1",1,2016-05-01,4723.9721401782,NA,"Yes","M1","NA","local","simple_average","NA",11,2376.51250817425,3046.67173148093,1066.4963009418,1631.06533961654,1,1,0.807692307692308,1,2347.45963200396,7100.48464835245,1677.30040869727,7770.64387165914,"Conformal","Conformal",1,1
"M1","arima-boost--local--R1_meanf--local--R1_xgboost--local--R1",1,2016-06-01,5425.37374124777,NA,"Yes","M1","NA","local","simple_average","NA",12,2396.85791191545,3053.9306219268,1066.4963009418,1631.06533961654,1,1,0.807692307692308,1,3028.51582933232,7822.23165316323,2371.44311932098,8479.30436317457,"Conformal","Conformal",1,1
"M1","arima-boost--local--R1_meanf--local--R1_xgboost--local--R1",2,2015-06-01,6301.25397572642,6889.99999999999,"Yes","M1","NA","local","simple_average","NA",1,1203.11240979909,1650.12280749548,1066.4963009418,1631.06533961654,1,1,0.807692307692308,1,5098.14156592733,7504.3663855255,4651.13116823094,7951.3767832219,"Conformal","Conformal",1,1
"M1","arima-boost--local--R1_meanf--local--R1_xgboost--local--R1",3,2015-05-01,5846.19966890966,4909.99999999999,"Yes","M1","NA","local","simple_average","NA",1,1203.11240979909,1650.12280749548,1066.4963009418,1631.06533961654,1,1,0.807692307692308,1,4643.08725911057,7049.31207870874,4196.07686141418,7496.32247640514,"Conformal","Conformal",1,1
"M1","arima-boost--local--R1_meanf--local--R1_xgboost--local--R1",3,2015-06-01,6793.66770794636,6889.99999999999,"Yes","M1","NA","local","simple_average","NA",2,1359.15004675121,1650.12280749548,1066.4963009418,1631.06533961654,1,1,0.807692307692308,1,5434.51766119515,8152.81775469757,5143.54490045088,8443.79051544184,"Conformal","Conformal",1,1
